# Pin rows contain Pin number and pin name.
# Pin rows start with PIN_
# If the pin name is omitted, the pin number is added as name.
# Empty lines and lines not starting with PIN_ are ignored

PIN_PA16,D0
PIN_PA17,D1
PIN_PA07,D2
PIN_PB22,D3
PIN_PA14,D4
PIN_PA15,D5
PIN_PA18,D7
PIN_PA19,D9
PIN_PA20,D10
PIN_PA21,D11
PIN_PA23,D12
PIN_PA22,D13
PIN_PA02,A0
PIN_PA05,A1
PIN_PB08,A2
PIN_PB09,A3
PIN_PA04,A4
PIN_PA06,A5
PIN_PA12,SDA
PIN_PA13,SCL
PIN_PA00,MOSI
PIN_PB23,MISO
PIN_PA01,SCK
PIN_PB02,DOTSTAR_CLK
PIN_PB03,DOTSTAR_DATA
PIN_PB11,FLASH_CS
PIN_PB10,FLASH_SCK
PIN_PA08,FLASH_MOSI
PIN_PA09,FLASH_MISO
PIN_PA10,FLASH_WP
PIN_PA11,FLASH_HOLD

PIN_PA24,USB_DM
PIN_PA25,USB_DP
PIN_PA26,USB_SOF

PIN_PA30,SWCLK
PIN_PA31,SWDIO
